,0
indicador,resultado
municipio,Cristalina
ind_3117,"75,44957248504099"
ind_3127,"1,5286747838362449"
ind_3141,"24,813513643582464"
ind_3033,0
ind_3020,"3,116883116883117"
ind_4041,10
ind_4045,2
ind_3040,3
ind_3041,5
ind_4035,"10,194295814393026"
ind_4036,"113,8970434894204"
ind_3021,"12,077315821480598"
ind_3022,"0,0"
ind_3134,"10,0"
ind_4024,4
ind_4025,0
ind_4032,0
ind_4033,0
ind_3027,"0,0"
ind_3122,0
ind_3004,0
ind_3016,"10,0"
ind_4010,"4,0"
ind_4012,"3,0"
ind_3049,"2,0"
ind_3076,"2,0"
ind_3124,6
ind_4011,"1,0"
ind_4031,0
ind_4046,0
ind_4005,"0,0"
ind_3024,"-3796,533864541832"
ind_3028,"-1,462103699267987"
ind_3042,"5,0"
ind_4047,"0,0"
ind_4030,10
ind_3043,"9,0"
ind_3069,"1,0"
ind_3056,"0,0"
ind_3113,"3,0"
ind_4007,"0,0"
ind_4014,"0,0"
ind_3077,15
ind_3107,5
ind_3123,"3,0"
ind_4040,"2,0"
ind_3003,"49,45054945054945"
ind_3011,"8,7"
ind_3086,0
ind_3115,"1379,5979915619937"
ind_4006,"4,0"
ind_4020,2
ind_4034,"15,1"
ind_4037,"100,0"
ind_4048,"2273,5837206381107"
ind_3007,"0,0"
ind_4042,0
ind_3039,0
ind_4039,"2,0"
ind_4043,0
ind_4044,2
ind_3103,"5,0"
ind_3147,"1,0"
ind_3006,"3,0"
ind_3095,"88,23010411152286"
ind_3096,"132,9868296517317"
ind_3125,"2,0"
ind_4004,"0,0"
ind_4021,"0,15257731958762888"
ind_3048,"2,0"
ind_4016,"54,24"
ind_4017,3
