,0
indicador,resultado
municipio,Cocalzinho de Goias
ind_3117,"69,90725935401343"
ind_3127,"0,0"
ind_3141,"20,11672529581068"
ind_3033,0
ind_3020,"12,038303693570452"
ind_4041,3
ind_4045,1
ind_3040,3
ind_3041,5
ind_4035,"7,084193388958347"
ind_4036,"103,93348257115446"
ind_3021,"9,33838706863971"
ind_3022,"0,0"
ind_3134,"6,0"
ind_4024,0
ind_4025,0
ind_4032,0
ind_4033,0
ind_3027,"0,003997441637352095"
ind_3122,"63,4"
ind_3004,0
ind_3016,"0,0"
ind_4010,"3,0"
ind_4012,"0,0"
ind_3049,"1,0"
ind_3076,"3,0"
ind_3124,9
ind_4011,"0,0"
ind_4031,0
ind_4046,0
ind_4005,"0,0"
ind_3024,"-0,0"
ind_3028,"-1,5274661920816153"
ind_3042,"4,0"
ind_4047,None
ind_4030,9
ind_3043,"1,0"
ind_3069,"1,0"
ind_3056,"0,0"
ind_3113,"0,0"
ind_4007,"0,0"
ind_4014,"1,0"
ind_3077,6
ind_3107,0
ind_3123,"0,0"
ind_4040,"1,0"
ind_3003,"53,06122448979592"
ind_3011,"12,9"
ind_3086,0
ind_3115,"0,0"
ind_4006,"2,0"
ind_4020,0
ind_4034,"17,0"
ind_4037,"100,0"
ind_4048,"2884,9621348719797"
ind_3007,"0,0"
ind_4042,1
ind_3039,7
ind_4039,"3,0"
ind_4043,0
ind_4044,3
ind_3103,"16,0"
ind_3147,"4,0"
ind_3006,"2,0"
ind_3095,"87,94371602174608"
ind_3096,"134,31403901503037"
ind_3125,"2,0"
ind_4004,"5,0"
ind_4021,"0,17567567567567569"
ind_3048,"0,0"
ind_4016,"14,82"
ind_4017,5
